matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
EUW1_5995070469,1928,True,25,Morgana,UTILITY,MIDDLE,SUPPORT,Blue,4,1,1,9,7,4,12,55,10624,15,48,6009,1445,17020,18491,9156,13,26,3476,6,8,2933,5,8
EUW1_5883331171,1614,False,37,Sona,UTILITY,BOTTOM,SUPPORT,Blue,1,0,0,0,1,5,12,50,6934,12,15,0,0,5207,13022,9483,14,19,2290,6,3,3221,7,7
EUW1_5051062115,2158138,False,37356089,TwistedFate,MIDDLE,MIDDLE,CARRY,Blue,3,1,0,6,7,5,12,14,14028,17,163,356,356,24716,31693,14041,17,180,3601,8,52,3276,8,59
EUW1_5460229070,2145388,False,1,Annie,MIDDLE,MIDDLE,SOLO,Blue,0,1,0,5,6,8,14,29,11830,15,137,556,0,34866,22856,12926,16,152,3215,8,44,2836,7,48
EUW1_5795923330,1558,False,17,Teemo,TOP,TOP,SOLO,Blue,0,1,0,0,1,4,0,8,8558,14,202,2266,2266,13958,11793,9797,14,197,3627,8,93,4035,8,88
EUW1_5286518776,1666836,True,35,Shaco,JUNGLE,JUNGLE,NONE,Blue,3,1,0,11,10,3,10,20,12199,15,37,23676,1987,15507,21977,8576,13,66,3887,7,65,2137,6,4
EUW1_5845700881,1532,False,55,Katarina,MIDDLE,MIDDLE,SOLO,Red,0,1,0,2,3,8,8,7,8854,13,114,2676,646,11087,20450,14047,15,173,3743,8,56,4849,9,78
EUW1_5888174981,1440,True,350,Yuumi,UTILITY,BOTTOM,SUPPORT,Blue,3,1,1,9,2,3,23,43,8416,13,6,4669,2159,7441,9076,7611,10,39,3474,7,2,3358,5,9
EUW1_5978387795,1114,True,105,Fizz,MIDDLE,NONE,SUPPORT,Blue,2,1,0,10,3,1,7,3,7807,12,106,4090,3611,9762,6950,4987,10,78,3680,8,58,2984,8,55
EUW1_6022095480,1339,False,875,Sett,TOP,TOP,SOLO,Red,0,1,0,1,5,6,4,7,9766,13,131,4978,4314,16284,27379,9966,13,140,4195,10,85,3234,8,81
EUW1_6025630582,1858,False,35,Shaco,UTILITY,BOTTOM,SUPPORT,Red,1,1,0,4,4,10,12,78,9461,12,22,851,851,19589,25145,9443,15,36,3856,7,8,3452,6,14
EUW1_5762330129,1671,False,222,Jinx,BOTTOM,BOTTOM,SOLO,Blue,3,0,0,2,6,6,6,12,9254,12,136,11819,2872,17055,17109,12315,15,159,3903,7,66,3019,7,66
EUW1_5453329923,2386304,True,91,Talon,JUNGLE,JUNGLE,NONE,Red,3,1,1,10,8,9,6,54,15189,18,59,42742,0,24667,40728,15128,17,35,3540,7,64,4257,7,67
EUW1_5645738198,1835,False,523,Aphelios,BOTTOM,MIDDLE,DUO,Blue,0,1,0,3,10,6,1,23,12160,14,215,2607,2607,18605,15150,11937,14,172,3772,7,88,4309,7,78
EUW1_5814290761,623,True,98,Shen,TOP,NONE,SUPPORT,Blue,1,0,0,0,2,3,0,5,3565,7,52,888,888,2740,5716,3737,9,56,3565,7,52,3737,9,56
EUW1_6001871078,2140,True,17,Teemo,TOP,JUNGLE,NONE,Blue,4,0,0,9,11,3,6,23,16051,18,231,19764,5323,42371,25306,13297,16,181,2979,8,68,4614,9,69
EUW1_5705289055,2095,True,150,Gnar,TOP,TOP,SOLO,Red,4,2,2,11,5,5,3,21,15367,18,236,23281,8866,25553,39823,13594,17,251,3558,8,74,3341,9,66
EUW1_5727723375,1960,False,99,Lux,MIDDLE,MIDDLE,SOLO,Blue,0,1,1,3,2,6,6,32,9246,16,165,4183,549,13281,12572,15217,17,231,2799,8,67,4161,9,87
EUW1_5368646882,1408445,True,7,Leblanc,MIDDLE,MIDDLE,SOLO,Red,2,2,1,8,5,3,3,15,8317,12,110,2963,2963,11445,12331,7272,13,135,3381,8,50,3409,8,69
EUW1_5510575819,1714,False,101,Xerath,UTILITY,BOTTOM,SUPPORT,Blue,2,0,0,1,3,4,7,29,8544,14,73,4978,1170,17240,15111,7995,13,42,2782,7,11,2897,7,24
EUW1_6012639948,1666,True,83,Yorick,TOP,TOP,SOLO,Blue,3,2,0,10,7,4,4,15,12144,16,181,20358,9024,19991,29086,8192,13,76,3766,9,69,3041,8,52
EUW1_5680090945,2280,True,14,Sion,JUNGLE,JUNGLE,NONE,Red,3,0,1,10,13,11,10,22,15388,17,39,16668,2684,30965,57273,16161,18,50,3617,7,67,3096,7,57
EUW1_5673168224,2196,False,81,Ezreal,BOTTOM,BOTTOM,CARRY,Red,2,1,0,5,10,6,4,16,15462,16,255,6416,5879,23542,20474,18705,18,274,3905,6,53,4344,7,81
