matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
KR_6095964211,1397,False,50,Swain,MIDDLE,MIDDLE,SOLO,Red,0,0,0,0,9,4,2,11,9795,13,120,434,188,18942,25667,9486,13,133,3002,8,63,4160,9,76
KR_5953279731,1961,False,68,Rumble,TOP,TOP,SOLO,Blue,1,2,0,3,3,4,4,44,12392,16,243,9663,1075,26434,26323,17980,18,284,4164,9,86,3844,8,90
KR_4955814427,1209031,True,37683774,Zed,MIDDLE,MIDDLE,SOLO,Red,2,0,0,7,6,3,4,13,7918,13,137,1445,1185,12574,11744,6933,11,113,3941,9,74,3453,8,57
KR_5459590247,2214549,True,51,Caitlyn,BOTTOM,BOTTOM,CARRY,Blue,3,1,1,10,8,5,9,32,15044,16,218,17275,3628,25133,25412,15525,15,226,4157,7,86,3605,7,86
KR_6073079213,1459,False,895,Nilah,BOTTOM,BOTTOM,CARRY,Red,0,1,0,3,1,8,2,5,7717,12,167,5410,2819,10343,17941,17921,15,225,3858,8,77,5950,8,84
KR_6074668853,2044,False,555,Pyke,UTILITY,BOTTOM,SUPPORT,Red,1,2,0,5,12,10,12,152,13275,13,58,2347,355,12991,26818,8802,14,19,4023,5,19,2339,4,7
KR_5790051238,1283,False,20,Nunu,MIDDLE,MIDDLE,SOLO,Blue,1,1,0,4,7,7,3,8,9485,13,121,3497,468,13679,19711,8249,13,133,3783,8,75,3957,9,59
KR_5969875781,1115,True,887,Gwen,TOP,NONE,SUPPORT,Blue,2,1,0,8,6,1,2,9,9389,13,167,5147,3951,11581,13992,4877,10,89,4603,9,79,2798,7,58
KR_5192011739,2043050,True,98,Shen,JUNGLE,JUNGLE,NONE,Blue,3,2,1,10,3,7,11,30,11935,16,26,31209,399,12017,31674,9949,15,32,3287,7,61,3470,7,56
KR_6018445246,1378,True,895,Nilah,BOTTOM,BOTTOM,CARRY,Blue,2,0,1,11,19,1,6,8,16980,16,197,20094,7750,32394,22566,8133,12,157,6220,9,98,4079,7,67
KR_5663646764,2015,True,21,MissFortune,BOTTOM,BOTTOM,CARRY,Blue,1,1,1,11,7,8,9,24,12556,15,156,4120,3331,14884,24016,11911,16,214,3000,6,54,3884,9,80
KR_5947682491,1761,True,24,Jax,TOP,TOP,SOLO,Blue,3,1,1,11,14,2,3,14,16459,18,215,17687,12243,25188,27475,9834,14,199,4558,10,66,3194,8,80
KR_4886486009,920021,False,37552700,Fiora,TOP,NONE,SUPPORT,Red,0,1,0,1,1,4,0,9,5438,9,98,1441,1441,5004,10768,5708,10,104,3489,8,74,3663,9,77
KR_5182905880,1890868,False,517,Sylas,TOP,TOP,SOLO,Red,3,1,0,2,2,7,5,12,8816,14,111,2457,0,10985,31104,15029,17,232,2875,8,45,3878,9,88
KR_5183075849,618022,False,31,Chogath,TOP,NONE,DUO,Red,0,0,0,0,1,1,0,2,3414,8,78,0,0,3320,5151,3741,8,76,3414,8,78,3741,8,76
KR_5316033268,1342893,False,234,Viego,TOP,TOP,SOLO,Red,0,0,0,1,3,6,0,8,7209,12,118,2782,2782,10569,18608,7275,13,118,3719,9,63,2755,8,53
KR_6079540772,1530,False,131,Diana,JUNGLE,JUNGLE,NONE,Blue,1,1,0,3,6,4,4,23,11198,15,29,24265,4214,20944,19560,11889,14,13,4525,8,71,4773,8,73
KR_6050272505,1039,False,41,Gangplank,TOP,NONE,DUO,Red,0,0,0,0,0,3,0,6,5314,11,130,0,0,6034,14766,6752,11,102,3826,9,103,3511,9,65
KR_5693849392,1541,False,58,Renekton,TOP,TOP,SOLO,Blue,2,0,0,0,1,6,2,19,5782,11,84,753,753,4760,23997,12073,14,174,2666,8,35,4129,9,83
KR_5716466480,1597,True,43,Karma,UTILITY,BOTTOM,SOLO,Red,2,0,1,6,0,5,15,70,7193,12,25,6115,1186,7826,12714,8747,11,19,2636,5,3,3890,7,5
KR_5806364504,1133,True,51,Caitlyn,BOTTOM,NONE,SUPPORT,Red,2,1,0,7,1,2,7,13,7752,11,156,5898,4378,8155,6216,5520,9,110,3680,7,82,3043,6,56
KR_5316009956,1518857,False,141,Kayn,JUNGLE,JUNGLE,NONE,Red,0,0,0,0,5,8,4,16,8674,12,28,1307,0,9637,27228,10111,14,21,3551,7,69,4305,7,53
